Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,434/405,237/203,109/105,82/88,6/9,-
2024,25/28,18/15,5/11,-,2/2,-
2023,43/38,19/16,4/7,19/14,1/1,-
2022,31/31,12/11,12/14,7/4,0/2,-
2021,50/26,31/18,14/5,5/3,-,-
2020,16/21,0/5,16/13,0/3,-,-
2019,30/34,16/16,8/9,4/6,2/3,-
2018,40/33,22/20,0/2,18/11,-,-
2017,22/29,8/13,10/9,4/7,-,-
2016,29/32,21/22,2/2,6/8,-,-
2015,37/33,23/17,5/4,9/12,-,-
2014,50/35,23/17,20/10,6/7,1/1,-
2013,10/14,3/4,5/7,2/3,-,-
2012,21/26,13/13,7/9,1/4,-,-
2011,20/20,19/12,1/3,0/5,-,-
2010,10/5,9/4,-,1/1,-,-
