Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,395/334,247/198,124/122,2/2,-,22/12
2024,1/2,1/2,-,-,-,-
2023,12/10,1/6,0/3,-,-,11/1
2022,28/22,3/9,25/12,-,-,0/1
2021,21/26,18/17,3/9,-,-,-
2020,6/7,6/4,0/2,-,-,0/1
2019,36/28,20/16,15/11,-,-,1/1
2018,33/25,19/11,12/13,-,-,2/1
2017,41/31,26/17,11/12,2/1,-,2/1
2016,40/25,32/17,4/7,0/1,-,4/0
2015,41/25,17/11,23/13,-,-,1/1
2014,33/28,25/15,8/10,-,-,0/3
2013,16/18,8/8,8/10,-,-,-
2012,17/16,16/11,0/4,-,-,1/1
2011,29/20,18/13,11/7,-,-,-
2010,14/20,12/18,2/1,-,-,0/1
2009,24/17,24/16,0/1,-,-,-
2008,2/5,1/2,1/3,-,-,-
2007,1/2,-,1/2,-,-,-
2006,0/2,-,0/2,-,-,-
2005,0/4,0/4,-,-,-,-
2004,0/1,0/1,-,-,-,-
