https://www.tennisexplorer.com/res/img/player/6Dt5qfGm-jo0thkn6.jpeg
Naya Guillermina
Country: Argentina
Age: 27 (27. 9. 1996)
Current/Highest rank - singles: 625. / 380.
Current/Highest rank - doubles: 665. / 340.
Sex: woman
Plays: right
