Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,91/131,46/72,35/42,10/17,-,-
2024,9/6,-,7/5,2/1,-,-
2023,4/4,4/4,-,-,-,-
2019,11/18,3/7,6/8,2/3,-,-
2018,27/32,12/14,13/14,2/4,-,-
2017,26/32,17/20,7/9,2/3,-,-
2016,3/7,0/3,2/3,1/1,-,-
2015,0/2,0/2,-,-,-,-
2014,2/3,2/2,-,0/1,-,-
2013,3/5,3/3,0/1,0/1,-,-
2012,3/6,2/3,-,1/3,-,-
2011,0/1,0/1,-,-,-,-
2010,0/3,0/3,-,-,-,-
2009,0/2,0/2,-,-,-,-
2008,2/6,2/4,0/2,-,-,-
2007,1/4,1/4,-,-,-,-
