Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,104/74,30/21,70/45,4/8,-,-
2024,12/13,9/6,2/5,1/2,-,-
2023,34/16,5/4,29/11,0/1,-,-
2022,19/8,6/2,13/4,0/2,-,-
2021,11/9,1/2,9/6,1/1,-,-
2020,5/9,-,5/9,-,-,-
2019,12/8,1/1,11/7,-,-,-
2018,11/10,8/6,1/3,2/1,-,-
2016,0/1,-,-,0/1,-,-
