Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,159/132,110/96,17/16,-,-,32/20
2024,28/26,25/20,-,-,-,3/6
2023,36/32,11/19,7/8,-,-,18/5
2022,34/23,18/9,5/5,-,-,11/9
2020,2/2,2/2,-,-,-,-
2019,4/4,4/4,-,-,-,-
2018,27/17,26/16,1/1,-,-,-
2017,17/14,15/13,2/1,-,-,-
2016,10/11,8/10,2/1,-,-,-
2015,1/3,1/3,-,-,-,-
