Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,109/91,83/64,19/16,7/11,-,-
2024,12/10,9/8,1/1,2/1,-,-
2023,26/23,20/19,2/1,4/3,-,-
2022,30/20,24/14,6/5,0/1,-,-
2021,15/15,9/9,6/6,-,-,-
2020,5/3,4/2,1/1,-,-,-
2019,12/7,9/5,3/2,-,-,-
2018,8/4,8/4,-,-,-,-
2017,1/9,0/3,-,1/6,-,-
