Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
18.06.2024,Basile P.,2,,,,,,"['1', '1', '4', '2', '6', '2']","['3', '1', '5', '3']",[],[],[],1.70
18.06.2024,Vatteroni L.,0,,,,,,"['1', '0']","['2', '3']",[],[],[],2.07
02.11.2023,Cox D.,2,,,,,,"['2', '0', '4', '0', '6', '0']","['2', '0', '4', '0', '5', '1']",[],[],[],1.14
02.11.2023,Vatteroni L.,0,,,,,,[],"['1', '4']",[],[],[],5.04
01.11.2023,Vatteroni L.,2,,,,,,[],"['2', '1', '4', '1', '6', '1']",[],[],[],3.64
01.11.2023,Lumsden E.,0,,,,,,[],[],[],[],[],1.25
24.05.2023,Giacomini L.,2,,,,,,[],[],[],[],[],1.18
24.05.2023,Vatteroni L.,0,,,,,,[],[],[],[],[],4.50
18.05.2023,Ivanov S. A.,2,,,,,,[],[],[],[],[],1.09
18.05.2023,Vatteroni L.,0,,,,,,[],[],[],[],[],6.35
03.08.2022,Garcia A.,2,,,,,,"['3', '2']","['3', '3']",[],[],[],1.38
03.08.2022,Vatteroni L.,0,,,,,,"['3', '3']","['1', '0']",[],[],[],2.90
26.05.2022,Sorrentino L.,2,,,,,,[],[],[],[],[],1.19
26.05.2022,Vatteroni L.,0,,,,,,[],[],[],[],[],4.54
25.05.2022,Vatteroni L.,2,,,,,,[],[],[],[],[],10.00
25.05.2022,Bielinskyi V.,0,,,,,,[],[],[],[],[],1.04
