Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,274/258,37/32,190/178,17/23,30/25,-
2024,8/11,-,8/11,-,-,-
2023,9/16,0/2,8/11,1/3,-,-
2022,30/19,3/4,26/13,0/1,1/1,-
2021,5/10,-,5/10,-,-,-
2020,7/5,-,7/4,0/1,-,-
2019,16/23,0/2,13/19,3/2,-,-
2018,36/23,5/2,31/21,-,-,-
2017,8/19,2/3,6/16,-,-,-
2016,29/23,-,17/18,1/1,11/4,-
2015,25/26,2/4,18/15,0/1,5/6,-
2014,32/23,5/5,26/15,1/1,0/2,-
2013,26/25,9/6,6/10,2/2,9/7,-
2012,26/17,11/3,11/8,2/2,2/4,-
2011,17/13,-,8/6,7/6,2/1,-
2010,0/5,0/1,0/1,0/3,-,-
