Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,286/224,222/150,52/53,11/17,1/4,-
2024,19/14,18/11,1/2,0/1,-,-
2023,26/25,20/16,6/9,-,-,-
2022,21/28,19/15,1/5,0/5,1/3,-
2021,15/20,9/11,6/8,-,0/1,-
2020,30/19,10/7,14/9,6/3,-,-
2019,36/29,28/21,6/5,2/3,-,-
2018,27/14,22/8,5/5,0/1,-,-
2017,14/8,9/4,5/4,-,-,-
2016,18/9,15/7,3/2,-,-,-
2015,12/9,10/7,2/2,-,-,-
2014,28/16,26/15,-,2/1,-,-
2013,17/16,13/12,3/2,1/2,-,-
2012,20/11,20/10,-,0/1,-,-
2011,3/4,3/4,-,-,-,-
2010,0/2,0/2,-,-,-,-
