Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,46/26,-,18/6,14/13,14/7,-
2024,0/1,-,-,0/1,-,-
2023,25/17,-,10/4,9/9,6/4,-
2022,20/5,-,7/1,5/1,8/3,-
2021,1/1,-,1/1,-,-,-
2020,0/2,-,-,0/2,-,-
