Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,107/139,30/45,74/87,-,3/7,-
2024,7/10,0/1,7/9,-,-,-
2023,4/21,3/11,1/6,-,0/4,-
2022,18/29,7/10,9/17,-,2/2,-
2021,29/36,11/16,18/20,-,-,-
2020,2/3,-,2/3,-,-,-
2019,29/23,8/6,20/16,-,1/1,-
2018,10/11,1/1,9/10,-,-,-
2013,3/2,-,3/2,-,-,-
2012,5/3,-,5/3,-,-,-
2011,0/1,-,0/1,-,-,-
