Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
25.08.,Callejon H. S.,2,,,,,,1,1,62%,66% (27/41),72% (18/25),100% (5/5),36% (16/45),54% (13/24),29% (2/7),18,18,80% (4/5),68% (45/66),42% (29/69),55% (74/135),5,0,100% (10/10),22% (2/9),63% (12/19),"['2', '0']","['3', '2']",[],[],[],-
25.08.,Pichler D.,0,,,,,,6,5,65%,64% (29/45),46% (11/24),71% (5/7),34% (14/41),28% (7/25),0% (0/5),16,32,57% (4/7),58% (40/69),32% (21/66),45% (61/135),5,1,78% (7/9),0% (0/10),37% (7/19),[],[],[],[],[],-
29.04.,Kym J.,2,,,,,,9,3,65%,87% (26/30),50% (8/16),100% (4/4),42% (10/24),56% (19/34),67% (4/6),74% (34/46),50% (29/58),61% (63/104),8,0,100% (8/8),50% (4/8),75% (12/16),"['3', '1', '5', '1']","['1', '0', '6', '3']",[],[],[],1.13
29.04.,Pichler D.,0,,,,,,3,4,41%,58% (14/24),44% (15/34),33% (2/6),13% (4/30),50% (8/16),0% (0/4),50% (29/58),26% (12/46),39% (41/104),2,0,50% (4/8),0% (0/8),25% (4/16),[],[],[],[],[],5.15
28.04.,Pichler D.,2,,,,,,1,4,53%,78% (32/41),42% (15/36),80% (8/10),30% (13/43),53% (16/30),60% (3/5),61% (47/77),40% (29/73),51% (76/150),6,0,82% (9/11),27% (3/11),55% (12/22),"['1', '0']","['2', '1', '4', '5']",[],[],[],4.02
28.04.,Napolitano S.,0,,,,,,7,3,59%,70% (30/43),47% (14/30),40% (2/5),22% (9/41),58% (21/36),20% (2/10),60% (44/73),39% (30/77),49% (74/150),4,1,73% (8/11),18% (2/11),45% (10/22),[],"['3', '3', '5', '3']",[],[],[],1.22
24.11.2024,Sanchez Izquierdo N.,2,,,,,,2,2,67%,70% (26/37),50% (9/18),33% (1/3),45% (20/44),55% (17/31),38% (5/13),64% (35/55),49% (37/75),55% (72/130),6,0,78% (7/9),50% (5/10),63% (12/19),"['2', '1', '3', '2', '5', '4']","['1', '0', '6', '3']",[],[],[],1.49
24.11.2024,Pichler D.,0,,,,,,4,3,59%,55% (24/44),45% (14/31),62% (8/13),30% (11/37),50% (9/18),67% (2/3),51% (38/75),36% (20/55),45% (58/130),4,3,50% (5/10),22% (2/9),37% (7/19),"['2', '2', '3', '3']",[],[],[],[],2.51
18.11.2024,Montes-De La Torre I.,2,,,,,,2,8,57%,71% (37/52),35% (14/40),44% (4/9),31% (15/48),62% (16/26),67% (4/6),55% (51/92),43% (32/75),50% (83/167),6,0,62% (8/13),33% (4/12),48% (12/25),"['2', '0', '6', '4']",[],"['3', '1', '5', '3']",[],[],1.29
18.11.2024,Pichler D.,1,,,,,,2,1,65%,69% (33/48),38% (10/26),33% (2/6),29% (15/52),65% (26/40),56% (5/9),57% (43/75),45% (41/92),50% (84/167),4,2,67% (8/12),38% (5/13),52% (13/25),"['2', '3']","['1', '0', '3', '0', '5', '0']","['3', '4']",[],[],3.39
17.11.2024,Pichler D.,2,,,,,,6,3,58%,66% (37/56),44% (18/41),73% (11/15),20% (8/41),64% (18/28),80% (4/5),57% (55/97),38% (26/69),49% (81/166),5,0,69% (9/13),31% (4/13),50% (13/26),"['1', '2']","['5', '3']","['1', '0', '3', '0']",[],[],4.61
17.11.2024,Alvarez Varona N.,1,,,,,,4,4,59%,80% (33/41),36% (10/28),20% (1/5),34% (19/56),56% (23/41),27% (4/15),62% (43/69),43% (42/97),51% (85/166),5,0,69% (9/13),31% (4/13),50% (13/26),"['2', '0', '3', '1', '5', '1']",[],"['1', '3']",[],[],1.17
13.10.2024,Diez S.,2,,,,,,5,5,62%,68% (45/66),48% (19/40),70% (7/10),37% (17/46),54% (22/41),67% (6/9),60% (64/106),45% (39/87),53% (103/193),6,0,80% (12/15),43% (6/14),62% (18/29),"['4', '3']","['4', '2', '6', '2']","['1', '3', '3', '3', '5', '3']",[],[],1.50
13.10.2024,Pichler D.,1,,,,,,5,4,53%,63% (29/46),46% (19/41),33% (3/9),32% (21/66),53% (21/40),30% (3/10),55% (48/87),40% (42/106),47% (90/193),4,1,57% (8/14),20% (3/15),38% (11/29),"['5', '5']",[],"['1', '0', '3', '0']",[],[],2.48
29.09.2024,Lokoli L.,2,,,,,,5,8,64%,73% (37/51),48% (14/29),80% (4/5),40% (26/65),50% (16/32),25% (2/8),64% (51/80),43% (42/97),53% (93/177),7,0,91% (10/11),18% (2/11),55% (12/22),"['4', '3']","['4', '3']",[],[],[],1.37
29.09.2024,Pichler D.,0,,,,,,1,4,67%,60% (39/65),50% (16/32),75% (6/8),27% (14/51),52% (15/29),20% (1/5),57% (55/97),36% (29/80),47% (84/177),3,0,82% (9/11),9% (1/11),45% (10/22),[],"['4', '4']",[],[],[],2.94
23.09.2024,Coulibaly E.,2,,,,,,6,1,59%,82% (18/22),73% (11/15),0% (0/1),45% (14/31),58% (14/24),56% (5/9),78% (29/37),51% (28/55),62% (57/92),7,0,88% (7/8),63% (5/8),75% (12/16),"['3', '1', '5', '3']","['1', '0', '4', '1', '6', '1']",[],[],[],1.34
23.09.2024,Pichler D.,0,,,,,,3,1,56%,55% (17/31),42% (10/24),44% (4/9),18% (4/22),27% (4/15),100% (1/1),49% (27/55),22% (8/37),38% (35/92),3,1,38% (3/8),13% (1/8),25% (4/16),"['2', '3']",[],[],[],[],3.10
22.09.2024,Pichler D.,2,,,,,,5,3,63%,70% (21/30),44% (8/18),33% (1/3),50% (17/34),62% (13/21),67% (6/9),60% (29/48),55% (30/55),57% (59/103),7,0,75% (6/8),67% (6/9),71% (12/17),"['1', '0', '3', '0', '5', '2']","['2', '1', '4', '1', '6', '3']",[],[],[],3.90
22.09.2024,Landaluce M.,0,,,,,,4,4,62%,50% (17/34),38% (8/21),33% (3/9),30% (9/30),56% (10/18),67% (2/3),45% (25/55),40% (19/48),43% (44/103),3,1,33% (3/9),25% (2/8),29% (5/17),"['2', '4']","['2', '4']",[],[],[],1.23
