Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,40/64,6/10,34/53,-,0/1,-
2024,10/16,0/2,10/14,-,-,-
2023,18/23,5/6,13/16,-,0/1,-
2022,10/18,1/2,9/16,-,-,-
2020,2/7,-,2/7,-,-,-
