Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
27.08.,Chung Y.,2,,,,,,[],"['7', '5']","['3', '1']",[],[],1.48
27.08.,Lee K.,1,,,,,,"['1', '0']",[],"['3', '4']",[],[],2.50
20.08.,Kwon S.,2,,,,,,"['2', '0', '4', '0']","['2', '1', '6', '3']",[],[],[],1.16
20.08.,Chung Y.,0,,,,,,[],[],[],[],[],4.67
07.06.,Kwon S.,2,,,,,,"['2', '1', '6', '3']","['3', '1', '6', '2']",[],[],[],1.23
07.06.,Chung Y.,0,,,,,,[],[],[],[],[],3.81
06.06.,Chung Y.,2,,,,,,"['3', '1', '6', '2']","['5', '3']",[],[],[],1.33
06.06.,Zhu E.,0,,,,,,[],[],[],[],[],3.09
05.06.,Chung Y.,2,,,,,,"['1', '0', '4', '1', '6', '3']",[],"['4', '2']",[],[],1.32
05.06.,Chanta T.,1,,,,,,"['2', '4']","['1', '0', '4', '1']",[],[],[],3.14
04.06.,Chung Y.,2,,,,,,"['2', '1', '4', '1', '6', '1']","['5', '3']",[],[],[],1.46
04.06.,Leong M. W. K.,0,,,,,,[],[],[],[],[],2.56
23.05.,Shin S.,2,,,,,,"['2', '1', '4', '3']","['2', '5']","['1', '0', '4', '3', '6', '3']",[],[],1.63
23.05.,Chung Y.,1,,,,,,"['2', '2']","['3', '1', '5', '1', '6', '2']","['3', '3']",[],[],2.16
21.05.,Chung Y.,2,,,,,,"['2', '1', '4', '1', '6', '1']","['2', '0', '4', '0', '6', '0']",[],[],[],1.21
21.05.,Kim J. H.,0,,,,,,[],[],[],[],[],4.04
23.04.,Park U.,2,,,,,,5,3,49%,65% (34/52),56% (30/54),67% (6/9),27% (14/51),57% (20/35),40% (4/10),60% (64/106),40% (34/86),51% (98/192),9,0,80% (12/15),29% (4/14),55% (16/29),[],"['1', '1', '3', '1']","['3', '2', '5', '4']",[],[],1.53
23.04.,Chung Y.,1,,,,,,4,4,59%,73% (37/51),43% (15/35),60% (6/10),35% (18/52),44% (24/54),33% (3/9),60% (52/86),40% (42/106),49% (94/192),1,0,71% (10/14),20% (3/15),45% (13/29),"['5', '4']","['1', '0']","['3', '3']",[],[],2.40
29.10.2024,Chung H.,2,,,,,,1,7,64%,63% (30/48),56% (15/27),75% (6/8),44% (17/39),55% (17/31),50% (5/10),60% (45/75),49% (34/70),54% (79/145),6,0,80% (8/10),45% (5/11),62% (13/21),"['3', '4', '6', '5']","['2', '1', '5', '2', '6', '3']",[],[],[],1.86
29.10.2024,Chung Y.,0,,,,,,5,2,56%,56% (22/39),45% (14/31),50% (5/10),38% (18/48),44% (12/27),25% (2/8),51% (36/70),40% (30/75),46% (66/145),4,0,55% (6/11),20% (2/10),38% (8/21),"['2', '0']","['3', '5']",[],[],[],1.86
25.08.2024,Pokorny L.,1,,,,,,5,1,55%,81% (13/16),85% (11/13),0% (0/0),0 km/h,0 km/h,42% (14/33),67% (10/15),50% (4/8),83% (24/29),50% (24/48),62% (48/77),9,0,100% (6/6),57% (4/7),77% (10/13),"['3', '2', '5', '2']","['2', '1', '4', '1']",[],[],[],1.95
25.08.2024,Chung Y.,0,,,,,,1,1,69%,58% (19/33),33% (5/15),50% (4/8),0 km/h,0 km/h,19% (3/16),15% (2/13),0% (0/0),50% (24/48),17% (5/29),38% (29/77),1,0,43% (3/7),0% (0/6),23% (3/13),[],[],[],[],[],1.79
18.08.2024,Bouzige M.,2,,,,,,6,5,58%,65% (32/49),53% (19/36),60% (6/10),0 km/h,0 km/h,33% (17/51),56% (18/32),57% (4/7),60% (51/85),42% (35/83),51% (86/168),6,0,71% (10/14),29% (4/14),50% (14/28),[],"['3', '2', '6', '3']","['4', '4', '7', '5']",[],[],2.50
18.08.2024,Chung Y.,1,,,,,,8,4,61%,67% (34/51),44% (14/32),43% (3/7),0 km/h,0 km/h,35% (17/49),47% (17/36),40% (4/10),58% (48/83),40% (34/85),49% (82/168),4,1,71% (10/14),29% (4/14),50% (14/28),"['1', '0', '4', '1', '6', '1']",[],"['1', '0']",[],[],1.50
08.08.2024,Isomura K.,2,,,,,,"['1', '0', '6', '5']","['2', '1', '5', '2']",[],[],[],3.08
08.08.2024,Chung Y.,0,,,,,,"['5', '5']",[],[],[],[],1.34
07.08.2024,Chung Y.,2,,,,,,[],"['1', '0', '4', '1', '6', '1']","['6', '4']",[],[],1.45
07.08.2024,van Wyk K.,1,,,,,,"['4', '2', '6', '2']",[],[],[],[],2.62
31.07.2024,Sasikumar M.,1,,,,,,"['2', '0', '5', '1']","['2', '1']",[],[],[],2.11
31.07.2024,Chung Y.,0,,,,,,[],[],[],[],[],1.67
14.05.2024,Nam Ji S.,2,,,,,,8,1,69%,77% (33/43),74% (14/19),50% (1/2),35% (14/40),39% (9/23),33% (2/6),76% (47/62),37% (23/63),56% (70/125),10,0,91% (10/11),18% (2/11),55% (12/22),"['5', '4']","['3', '4']",[],[],[],2.22
14.05.2024,Chung Y.,0,,,,,,5,2,63%,65% (26/40),61% (14/23),67% (4/6),23% (10/43),26% (5/19),50% (1/2),63% (40/63),24% (15/62),44% (55/125),0,0,82% (9/11),9% (1/11),45% (10/22),[],"['2', '0']",[],[],[],1.56
18.04.2024,Harris L.,2,,,,,,6,0,53%,78% (25/32),57% (16/28),75% (3/4),34% (10/29),40% (8/20),75% (3/4),68% (41/60),37% (18/49),54% (59/109),6,0,90% (9/10),30% (3/10),60% (12/20),"['1', '0', '3', '2']","['4', '3']",[],[],[],1.16
18.04.2024,Chung Y.,0,,,,,,1,0,59%,66% (19/29),60% (12/20),25% (1/4),22% (7/32),43% (12/28),25% (1/4),63% (31/49),32% (19/60),46% (50/109),4,0,70% (7/10),10% (1/10),40% (8/20),"['2', '2']",[],[],[],[],4.84
16.04.2024,Chung Y.,2,,,,,,3,3,51%,77% (34/44),58% (25/43),71% (5/7),21% (8/39),46% (18/39),75% (3/4),68% (59/87),33% (26/78),52% (85/165),5,0,86% (12/14),27% (4/15),55% (16/29),"['3', '3', '6', '4']",[],"['3', '1']",[],[],3.07
16.04.2024,Jubb P.,1,,,,,,2,2,50%,79% (31/39),54% (21/39),25% (1/4),23% (10/44),42% (18/43),29% (2/7),67% (52/78),32% (28/87),48% (80/165),5,0,73% (11/15),14% (2/14),45% (13/29),"['3', '2']","['3', '2']",[],[],[],1.35
09.04.2024,Lajal M.,2,,,,,,0,3,59%,73% (22/30),57% (12/21),50% (1/2),38% (13/34),63% (15/24),44% (4/9),67% (34/51),48% (28/58),57% (62/109),5,0,89% (8/9),50% (4/8),71% (12/17),"['2', '0', '4', '0']","['1', '0', '4', '1']",[],[],[],1.73
09.04.2024,Chung Y.,0,,,,,,2,2,59%,62% (21/34),38% (9/24),56% (5/9),27% (8/30),43% (9/21),50% (1/2),52% (30/58),33% (17/51),43% (47/109),5,0,50% (4/8),11% (1/9),29% (5/17),"['1', '4']",[],[],[],[],2.03
