Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,265/182,214/140,19/20,32/22,-,-
2024,41/23,36/20,5/3,-,-,-
2023,46/30,36/22,-,10/8,-,-
2022,58/28,36/18,6/5,16/5,-,-
2021,33/25,30/17,3/6,0/2,-,-
2020,26/20,25/17,-,1/3,-,-
2019,22/17,19/13,2/2,1/2,-,-
2018,21/19,17/16,1/2,3/1,-,-
2017,17/14,14/11,2/2,1/1,-,-
2016,1/3,1/3,-,-,-,-
2015,0/3,0/3,-,-,-,-
