Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,298/185,276/167,21/15,1/3,-,-
2024,50/22,46/20,4/2,-,-,-
2023,36/27,30/22,5/2,1/3,-,-
2022,41/20,41/19,0/1,-,-,-
2021,39/27,39/27,-,-,-,-
2020,20/19,20/18,0/1,-,-,-
2019,49/29,48/27,1/2,-,-,-
2018,52/28,42/22,10/6,-,-,-
2017,10/10,9/9,1/1,-,-,-
2016,1/3,1/3,-,-,-,-
