https://www.tennisexplorer.com/res/img/player/bDC4ZJwG-MXpj8SdP.jpeg
Calzi Raphael
Country: Luxembourg
Age: 27 (16. 7. 1997)
Current/Highest rank - singles: 1753. / 1655.
Current/Highest rank - doubles: 565. / 500.
Sex: man
Plays: right
