Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,136/82,29/27,34/20,64/27,8/5,1/3
2024,32/15,6/4,2/4,16/3,7/3,1/1
2023,21/23,5/5,14/9,1/6,1/2,0/1
2022,53/19,9/7,18/6,26/6,-,-
2021,17/16,6/9,-,11/7,-,-
2020,13/9,3/2,0/1,10/5,-,0/1
