Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,10/19,3/7,7/12,-,-,-
2024,6/14,2/5,4/9,-,-,-
2023,3/4,0/1,3/3,-,-,-
2022,1/1,1/1,-,-,-,-
