Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
03.07.,Novakovic N.,2,,,,,,"['3', '2']",[],"['1', '0', '6', '5']",[],[],3.46
03.07.,Nunez D. A.,1,,,,,,[],"['4', '2', '6', '2']","['3', '3']",[],[],1.27
02.07.,Nunez D. A.,2,,,,,,"['2', '0', '6', '2']","['2', '0', '5', '3']",[],[],[],1.23
02.07.,Bruna N.,0,,,,,,[],"['2', '3']",[],[],[],3.79
27.06.,Popovic S.,2,,,,,,"['2', '0', '4', '0', '5', '3']","['3', '4']","['1', '0', '3', '0']",[],[],1.54
27.06.,Nunez D. A.,1,,,,,,"['1', '4', '3', '4']","['2', '0', '6', '4']",[],[],[],2.35
26.06.,Nunez D. A.,2,,,,,,"['2', '2', '4', '2', '5', '3']","['5', '4']",[],[],[],1.25
26.06.,Fiorentini A.,0,,,,,,"['2', '1', '3', '4']","['5', '5']",[],[],[],3.62
21.06.,Torrealba B.,2,,,,,,"['2', '2', '4', '2']","['1', '0', '4', '3', '6', '3']",[],[],[],2.18
21.06.,Nunez D. A.,0,,,,,,"['1', '0']","['3', '3']",[],[],[],1.62
20.06.,Nunez D. A.,2,,,,,,"['1', '0', '3', '0', '6', '1']","['2', '0', '4', '0', '6', '0']",[],[],[],1.30
20.06.,Pinter P. L.,0,,,,,,[],[],[],[],[],3.30
19.06.,Nunez D. A.,2,,,,,,"['1', '0', '4', '1']",[],"['4', '4', '5', '5']",[],[],1.31
19.06.,Markovic S.,1,,,,,,"['2', '4']","['2', '0']","['2', '1', '5', '4']",[],[],3.20
17.06.,Nunez D. A.,2,,,,,,"['2', '0']","['1', '0', '3', '0', '4', '5', '6', '5']",[],[],[],1.29
17.06.,Villalon N.,0,,,,,,"['3', '4']","['1', '3', '3', '3', '5', '3']",[],[],[],3.32
11.06.,Gulin S.,2,,,,,,"['5', '4']","['2', '1']",[],[],[],-
11.06.,Nunez D. A.,0,,,,,,[],"['5', '5']",[],[],[],-
27.05.,Villanueva G.,2,,,,,,[],"['2', '0', '6', '2']","['3', '1', '4', '2']",[],[],1.30
27.05.,Nunez D. A.,1,,,,,,"['3', '1']",[],"['2', '3']",[],[],3.47
21.05.,Soto M.,2,,,,,,"['1', '1', '3', '1', '6', '4']","['2', '0', '5', '3']",[],[],[],1.23
21.05.,Nunez D. A.,0,,,,,,"['1', '0', '3', '4']","['1', '2']",[],[],[],3.81
19.05.,Nunez D. A.,2,,,,,,[],"['1', '2', '4', '3', '6', '3']","['1', '3', '3', '3', '5', '3']",[],[],1.73
19.05.,Leite W.,1,,,,,,"['2', '0', '4', '0', '6', '0']","['2', '0']","['1', '0', '3', '0']",[],[],1.99
13.05.,Tobon M.,2,,,,,,10,11,62%,77% (53/69),37% (16/43),77% (10/13),27% (12/45),45% (20/44),30% (3/10),62% (69/112),36% (32/89),50% (101/201),7,6,80% (12/15),21% (3/14),52% (15/29),[],"['3', '2', '5', '2']","['4', '5']",[],[],2.18
13.05.,Nunez D. A.,1,,,,,,9,8,51%,73% (33/45),55% (24/44),70% (7/10),23% (16/69),63% (27/43),23% (3/13),64% (57/89),38% (43/112),50% (100/201),3,1,79% (11/14),20% (3/15),48% (14/29),"['2', '1', '6', '3']",[],"['3', '1']",[],[],1.64
12.05.,Nunez D. A.,2,,,,,,9,4,52%,70% (23/33),61% (19/31),100% (3/3),38% (15/39),70% (16/23),33% (3/9),66% (42/64),50% (31/62),58% (73/126),7,0,100% (9/9),38% (3/8),71% (12/17),"['2', '0', '5', '1']","['5', '4']",[],[],[],1.67
12.05.,Gimenez I.,0,,,,,,3,4,63%,62% (24/39),30% (7/23),67% (6/9),30% (10/33),39% (12/31),0% (0/3),50% (31/62),34% (22/64),42% (53/126),3,1,63% (5/8),0% (0/9),29% (5/17),[],[],[],[],[],2.12
11.05.,Nunez D. A.,2,,,,,,4,3,61%,75% (48/64),56% (23/41),40% (2/5),28% (22/78),51% (22/43),50% (5/10),68% (71/105),36% (44/121),51% (115/226),6,0,81% (13/16),29% (5/17),55% (18/33),"['4', '3']","['3', '3', '6', '6']","['2', '1', '6', '3']",[],[],1.41
11.05.,Osorio J. S.,1,,,,,,7,3,64%,72% (56/78),49% (21/43),50% (5/10),25% (16/64),44% (18/41),60% (3/5),64% (77/121),32% (34/105),49% (111/226),4,1,71% (12/17),19% (3/16),45% (15/33),"['5', '5']","['3', '2', '6', '5']",[],[],[],2.77
04.05.,Kuzuhara B.,2,,,,,,1,1,71%,73% (29/40),44% (7/16),0% (0/2),39% (14/36),67% (16/24),67% (4/6),64% (36/56),50% (30/60),57% (66/116),6,0,80% (8/10),44% (4/9),63% (12/19),"['2', '2', '4', '4', '6', '4']","['4', '2']",[],[],[],1.55
