Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,35/16,-,21/13,0/1,-,14/2
2024,12/6,-,12/5,0/1,-,-
2023,23/9,-,9/7,-,-,14/2
2022,0/1,-,0/1,-,-,-
