Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,28/29,-,7/11,15/12,6/6,-
2024,4/9,-,2/5,2/2,0/2,-
2023,16/14,-,5/5,7/6,4/3,-
2022,8/6,-,0/1,6/4,2/1,-
