Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,470/343,118/86,265/190,76/57,11/10,-
2024,13/9,5/3,4/4,4/2,-,-
2023,27/25,0/1,20/19,7/5,-,-
2022,25/23,1/5,19/11,5/7,-,-
2021,11/24,1/7,5/12,2/2,3/3,-
2020,25/23,8/3,17/15,0/5,-,-
2019,30/24,11/6,12/14,0/1,7/3,-
2018,20/28,7/10,9/14,4/3,0/1,-
2017,52/31,16/8,29/14,6/6,1/3,-
2016,50/24,2/3,38/15,10/6,-,-
2015,51/27,14/7,26/16,11/4,-,-
2014,10/12,-,4/8,6/4,-,-
2013,38/30,5/9,24/18,9/3,-,-
2012,56/27,17/7,30/16,9/4,-,-
2011,23/10,9/4,12/3,2/3,-,-
2010,6/6,2/3,3/2,1/1,-,-
2009,24/16,13/8,11/8,-,-,-
2008,9/4,7/2,2/1,0/1,-,-
