Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,32/38,1/2,31/36,-,-,-
2024,15/20,-,15/20,-,-,-
2023,13/16,1/2,12/14,-,-,-
2022,4/2,-,4/2,-,-,-
