Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,477/245,203/101,213/106,10/10,32/18,19/10
2024,29/23,7/6,18/13,-,3/3,1/1
2023,37/22,10/4,20/14,-,4/3,3/1
2022,51/23,12/5,19/13,3/3,12/2,5/0
2021,76/25,35/10,37/13,2/1,2/1,-
2020,27/2,-,27/2,-,-,-
2019,30/17,8/5,14/6,-,6/2,2/4
2018,14/20,0/3,11/15,0/1,-,3/1
2017,39/19,18/5,17/10,1/1,3/3,-
2016,46/26,24/16,16/6,4/3,-,2/1
2015,15/17,11/12,-,-,2/4,2/1
2014,54/28,39/21,15/7,-,-,-
2013,29/9,18/5,11/4,-,-,-
2012,10/6,1/2,8/2,0/1,-,1/1
2011,15/5,15/4,0/1,-,-,-
2010,5/3,5/3,-,-,-,-
