Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,314/246,184/137,82/56,44/45,4/8,-
2024,17/14,8/8,9/5,-,0/1,-
2023,34/26,28/15,3/3,2/4,1/4,-
2022,33/23,20/13,2/3,8/4,3/3,-
2021,21/16,13/7,4/3,4/6,-,-
2020,17/11,7/5,9/4,1/2,-,-
2019,31/20,23/12,4/5,4/3,-,-
2018,19/21,10/12,6/6,3/3,-,-
2017,39/35,25/21,9/5,5/9,-,-
2016,49/33,9/10,23/12,17/11,-,-
2015,35/25,29/20,6/4,0/1,-,-
2014,13/11,11/7,2/3,0/1,-,-
2013,4/9,1/6,3/2,0/1,-,-
2012,2/1,-,2/1,-,-,-
2011,0/1,0/1,-,-,-,-
