Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,466/254,150/65,174/127,54/36,73/23,15/3
2024,16/14,8/5,2/6,-,6/3,-
2023,36/18,11/3,18/11,0/1,7/3,-
2022,48/17,17/4,19/10,1/2,11/1,-
2021,49/19,13/4,26/12,0/1,10/2,-
2020,27/12,3/2,18/9,2/1,-,4/0
2019,22/23,1/2,14/16,0/1,5/3,2/1
2018,40/25,10/8,9/12,8/3,8/2,5/0
2017,41/24,11/9,19/11,4/2,5/2,2/0
2016,32/21,21/6,0/5,5/5,4/3,2/2
2015,17/18,6/5,10/11,1/2,-,-
2014,41/21,6/4,8/5,20/10,7/2,-
2013,35/14,9/3,8/6,8/4,10/1,-
2012,34/16,25/7,4/4,5/4,0/1,-
2011,7/4,-,7/4,-,-,-
2010,15/3,9/1,6/2,-,-,-
2009,6/4,0/2,6/2,-,-,-
2008,0/1,-,0/1,-,-,-
