Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,34/28,6/10,14/9,6/5,-,8/4
2024,17/16,6/7,10/6,1/3,-,-
2023,5/6,0/3,0/1,5/2,-,-
2022,8/4,-,-,-,-,8/4
2021,4/2,-,4/2,-,-,-
