Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,325/258,148/136,47/30,130/92,-,-
2024,35/22,16/11,9/4,10/7,-,-
2023,26/25,2/7,2/5,22/13,-,-
2022,41/28,15/13,7/4,19/11,-,-
2021,20/21,8/10,4/2,8/9,-,-
2020,16/15,1/3,13/6,2/6,-,-
2019,21/20,3/9,4/1,14/10,-,-
2018,26/22,9/13,-,17/9,-,-
2017,43/21,28/15,-,15/6,-,-
2016,27/17,26/16,-,1/1,-,-
2015,16/17,8/9,4/5,4/3,-,-
2014,21/16,13/10,3/2,5/4,-,-
2013,22/16,9/8,1/1,12/7,-,-
2012,7/9,6/6,-,1/3,-,-
2011,2/4,2/3,-,0/1,-,-
2010,1/3,1/2,-,0/1,-,-
2009,1/2,1/1,-,0/1,-,-
