Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,370/322,99/115,242/160,28/44,1/3,-
2024,17/23,1/4,12/15,4/4,-,-
2023,45/36,2/4,38/25,5/7,-,-
2022,23/33,7/8,14/16,2/9,-,-
2021,28/37,4/12,21/18,3/6,0/1,-
2020,55/50,31/33,21/12,3/5,-,-
2019,48/28,2/7,45/19,-,1/2,-
2018,21/18,3/5,10/7,8/6,-,-
2017,22/26,21/20,0/5,1/1,-,-
2016,40/22,6/4,33/16,1/2,-,-
2015,26/17,9/6,17/10,0/1,-,-
2014,9/4,-,8/3,1/1,-,-
2013,9/9,4/3,5/5,0/1,-,-
2012,15/6,3/2,12/4,-,-,-
2011,9/10,6/6,3/3,0/1,-,-
2010,3/3,0/1,3/2,-,-,-
