Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,103/128,90/97,10/27,-,-,3/4
2024,17/15,14/14,-,-,-,3/1
2023,18/18,18/15,-,-,-,0/3
2022,10/16,10/16,-,-,-,-
2021,23/13,22/10,1/3,-,-,-
2020,2/2,2/2,-,-,-,-
2019,8/17,8/14,0/3,-,-,-
2018,9/14,5/10,4/4,-,-,-
2017,8/14,7/11,1/3,-,-,-
2016,5/7,4/2,1/5,-,-,-
2015,0/3,0/1,0/2,-,-,-
2014,3/7,-,3/7,-,-,-
2013,0/2,0/2,-,-,-,-
