Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,40/15,35/12,5/3,-,-,-
2024,11/5,11/5,-,-,-,-
2023,27/8,22/5,5/3,-,-,-
2022,2/2,2/2,-,-,-,-
