Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,65/62,15/14,33/36,13/11,-,4/1
2024,12/6,5/1,1/2,6/3,-,-
2023,4/8,-,4/5,0/3,-,-
2022,30/23,6/6,13/12,7/4,-,4/1
2021,11/15,2/2,9/12,0/1,-,-
2020,8/5,2/1,6/4,-,-,-
2019,0/5,0/4,0/1,-,-,-
