Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,117/103,36/29,46/33,35/41,-,-
2024,28/17,7/4,10/7,11/6,-,-
2023,21/18,1/2,12/8,8/8,-,-
2022,18/16,6/5,8/5,4/6,-,-
2021,15/16,7/7,3/3,5/6,-,-
2020,2/4,-,1/3,1/1,-,-
2019,15/13,8/6,2/1,5/6,-,-
2018,11/13,4/3,7/5,0/5,-,-
2017,7/5,3/2,3/1,1/2,-,-
2016,0/1,-,-,0/1,-,-
