Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
29.07.,Agamenone F.,2,,,,,,"['1', '2', '5', '4']","['2', '0', '3', '1', '6', '2']","['2', '0', '4', '0', '6', '0']",[],[],1.13
29.07.,Freire Da Silva A.,1,,,,,,"['2', '0', '5', '5']","['1', '2']",[],[],[],5.15
23.07.,Andaloro F.,2,,,,,,"['1', '0', '6', '3']","['2', '2']","['2', '0', '4', '2', '6', '2']",[],[],1.09
23.07.,Freire Da Silva A.,1,,,,,,[],"['1', '0', '3', '2']","['2', '3']",[],[],5.95
08.07.,Ghazouani Durand Y.,2,,,,,,"['1', '1', '5', '3']","['1', '0']",[],[],[],1.50
08.07.,Freire Da Silva A.,0,,,,,,"['1', '0', '4', '5']",[],[],[],[],2.44
01.07.,Hussey G.,2,,,,,,"['6', '5']",[],[],[],[],1.10
01.07.,Freire Da Silva A.,0,,,,,,[],[],[],[],[],5.90
24.06.,Dutra Da Silva D.,2,,,,,,"['4', '3', '6', '3']","['4', '4', '6', '4']",[],[],[],1.14
24.06.,Freire Da Silva A.,0,,,,,,[],"['2', '1']",[],[],[],4.85
28.05.,Bax F.,2,,,,,,"['3', '3', '5', '3']","['4', '3']",[],[],[],1.14
28.05.,Freire Da Silva A.,0,,,,,,"['2', '1']",[],[],[],[],4.85
27.05.,Freire Da Silva A.,2,,,,,,"['2', '1', '5', '4']","['3', '4']","['2', '0', '4', '2', '5', '3']",[],[],2.30
27.05.,Aubriot A.,1,,,,,,"['3', '3']","['4', '2', '5', '3']","['2', '3', '3', '4']",[],[],1.56
28.03.,Added D.,2,,,,,,"['2', '2', '4', '4', '6', '4']","['4', '2']",[],[],[],1.23
28.03.,Freire Da Silva A.,0,,,,,,"['1', '0', '4', '3']",[],[],[],[],3.81
27.03.,Freire Da Silva A.,2,,,,,,"['4', '4']",[],"['4', '2', '5', '3']",[],[],2.81
