Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
CHALLENGER MEN - SINGLES :  St. Tropez (France),hard,header
17.09. 13:40,Jacquet K.,0,4,1,,,,6,1,64%,64% (18/28),50% (8/16),60% (3/5),27% (7/26),10% (1/10),0% (0/0),4,59% (26/44),22% (8/36),43% (34/80),1,71% (5/7),0% (0/6),38% (5/13),[],[],[],[],[],2.14
17.09. 13:40,Ajdukovic D.,1,6,2,,,,2,0,72%,73% (19/26),90% (9/10),0% (0/0),36% (10/28),50% (8/16),40% (2/5),5,78% (28/36),41% (18/44),58% (46/80),3,100% (6/6),29% (2/7),62% (8/13),"['2', '1']","['2', '1']",[],[],[],1.67
ATP - SINGLES :  US Open (USA),hard,header
ATP - SINGLES :  US Open (USA),hard,header
27.08. 01:55,Jacquet K.,0,3,4,2,,,1,2,67%,53% (32/60),48% (14/29),63% (10/16),13% (5/38),48% (20/42),17% (1/6),11,16,47% (8/17),5,52% (46/89),31% (25/80),42% (71/169),2,57% (8/14),8% (1/13),33% (9/27),[],"['3', '4']",[],[],[],11.00
27.08. 01:55,Dimitrov G.,3,6,6,6,,,11,7,48%,87% (33/38),52% (22/42),83% (5/6),47% (28/60),52% (15/29),38% (6/16),37,29,76% (19/25),8,69% (55/80),48% (43/89),58% (98/169),5,92% (12/13),43% (6/14),67% (18/27),"['3', '2', '6', '3']","['4', '2', '6', '4']","['2', '0', '6', '2']",[],[],1.05
ATP - SINGLES :  US Open (USA) - Qualification,hard,header
22.08. 20:35,Jacquet K.,2,7^8,6,,,,2,3,50%,80% (24/30),57% (17/30),67% (2/3),31% (13/42),69% (11/16),100% (4/4),7,68% (41/60),41% (24/58),55% (65/118),5,89% (8/9),40% (4/10),63% (12/19),"['5', '5']","['1', '0', '3', '0', '6', '1']",[],[],[],1.62
22.08. 20:35,Rodionov J.,0,6^6,1,,,,3,1,72%,69% (29/42),31% (5/16),0% (0/4),20% (6/30),43% (13/30),33% (1/3),8,59% (34/58),32% (19/60),45% (53/118),2,60% (6/10),11% (1/9),37% (7/19),"['1', '0']",[],[],[],[],2.31
21.08. 20:35,Jacquet K.,2,4,6,7,,,5,7,55%,72% (39/54),49% (22/45),57% (4/7),32% (19/60),56% (20/36),36% (4/11),6,62% (61/99),41% (39/96),51% (100/195),3,81% (13/16),27% (4/15),55% (17/31),[],"['2', '0']","['1', '0', '2', '3', '6', '5']",[],[],1.90
