Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds

CHALLENGER MEN - SINGLES :  Rome (Italy) - Qualification,clay,header
21.04. 20:40,Copil M.,0,5,2,,,,3,2,59%,68% (26/38),46% (12/26),63% (5/8),24% (10/42),35% (6/17),0% (0/1),5,59% (38/64),27% (16/59),44% (54/123),1,70% (7/10),0% (0/10),35% (7/20),[],[],[],[],[],1.86
21.04. 20:40,Nijboer R.,2,7,6,,,,1,2,71%,76% (32/42),65% (11/17),100% (1/1),32% (12/38),54% (14/26),38% (3/8),6,73% (43/59),41% (26/64),56% (69/123),3,100% (10/10),30% (3/10),65% (13/20),"['7', '5']","['3', '1', '6', '2']",[],[],[],1.88
ATP - SINGLES :  Bucharest (Romania) - Qualification,clay,header
14.04. 17:45,Copil M.,0,2,4,,,,3,4,52%,64% (21/33),37% (11/30),43% (3/7),19% (7/36),56% (10/18),33% (1/3),5,51% (32/63),31% (17/54),42% (49/117),3,56% (5/9),11% (1/9),33% (6/18),[],"['2', '0']",[],[],[],3.24
14.04. 17:45,Bonzi B.,2,6,6,,,,3,1,67%,81% (29/36),44% (8/18),67% (2/3),36% (12/33),63% (19/30),57% (4/7),8,69% (37/54),49% (31/63),58% (68/117),5,89% (8/9),44% (4/9),67% (12/18),"['1', '0', '3', '0']","['2', '3', '4', '3']",[],[],[],1.32
CHALLENGER MEN - SINGLES :  Madrid (Spain) - Qualification,clay,header
07.04. 14:40,Copil M.,0,3,4,,,,4,1,57%,73% (22/30),48% (11/23),25% (1/4),31% (16/52),50% (9/18),0% (0/6),5,62% (33/53),36% (25/70),47% (58/123),1,70% (7/10),0% (0/9),37% (7/19),[],[],[],[],[],1.74
07.04. 14:40,Perez Contri S.,2,6,6,,,,2,1,74%,69% (36/52),50% (9/18),100% (6/6),27% (8/30),52% (12/23),75% (3/4),7,64% (45/70),38% (20/53),53% (65/123),3,100% (9/9),30% (3/10),63% (12/19),"['3', '2', '6', '3']","['6', '4']",[],[],[],1.93
CHALLENGER MEN - SINGLES :  Barletta (Italy),clay,header
02.04. 17:40,Copil M.,0,2,4,,,,1,2,59%,59% (17/29),45% (9/20),33% (2/6),38% (17/45),38% (6/16),20% (1/5),18,12,64% (16/25),5,53% (26/49),38% (23/61),45% (49/110),2,56% (5/9),11% (1/9),33% (6/18),[],"['1', '3']",[],[],[],2.97
02.04. 17:40,Dzumhur D.,2,6,6,,,,0,1,74%,62% (28/45),63% (10/16),80% (4/5),41% (12/29),55% (11/20),67% (4/6),6,7,64% (9/14),5,62% (38/61),47% (23/49),55% (61/110),4,89% (8/9),44% (4/9),67% (12/18),"['1', '0', '4', '1']","['1', '0', '3', '0']",[],[],[],1.37
CHALLENGER MEN - SINGLES :  Lugano (Switzerland) - Qualification,hard,header
03.03. 19:05,Copil M.,0,4,4,,,,6,4,60%,73% (27/37),40% (10/25),60% (3/5),28% (13/47),41% (9/22),0% (0/5),5,60% (37/62),32% (22/69),45% (59/131),1,80% (8/10),0% (0/10),40% (8/20),[],[],[],[],[],1.45
03.03. 19:05,Gea A.,2,6,6,,,,9,2,68%,72% (34/47),59% (13/22),100% (5/5),27% (10/37),60% (15/25),40% (2/5),7,68% (47/69),40% (25/62),55% (72/131),3,100% (10/10),20% (2/10),60% (12/20),"['1', '0']","['1', '0']",[],[],[],2.64
CHALLENGER MEN - SINGLES :  Pau (France) - Qualification,hard,header
18.02. 14:40,Copil M.,0,4,6^3,,,,3,0,65%,74% (31/42),57% (13/23),71% (5/7),13% (5/39),46% (11/24),100% (1/1),5,68% (44/65),25% (16/63),47% (60/128),3,82% (9/11),9% (1/11),45% (10/22),"['3', '1']",[],[],[],[],1.48
18.02. 14:40,Bouquier A.,2,6,7^7,,,,10,3,62%,87% (34/39),54% (13/24),0% (0/1),26% (11/42),43% (10/23),29% (2/7),7,75% (47/63),32% (21/65),53% (68/128),5,91% (10/11),18% (2/11),55% (12/22),"['3', '4', '5', '4']",[],[],[],[],2.56
CHALLENGER MEN - SINGLES :  Cherbourg (France),hard,header
