Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,548/447,166/167,128/121,191/116,44/30,19/13
2024,8/10,0/4,-,8/5,-,0/1
2023,39/22,11/4,17/11,11/6,-,0/1
2022,29/27,10/10,5/0,11/10,3/4,0/3
2021,24/19,5/7,1/3,7/6,8/3,3/0
2020,1/6,0/2,1/4,-,-,-
2019,20/30,1/5,5/13,9/8,4/3,1/1
2018,31/27,4/6,9/11,10/5,4/4,4/1
2017,39/33,6/10,13/12,13/7,6/3,1/1
2016,46/23,8/6,9/8,18/5,9/3,2/1
2015,32/28,4/6,15/10,7/9,3/2,3/1
2014,32/28,5/9,12/9,11/7,3/3,1/0
2013,40/29,10/9,9/8,18/10,1/1,2/1
2012,44/31,17/12,5/6,21/12,-,1/1
2011,34/24,14/12,2/2,16/7,2/2,0/1
2010,42/29,15/14,13/8,14/7,-,-
2009,40/27,20/15,4/3,15/9,-,1/0
2008,22/20,16/12,3/3,2/3,1/2,-
2007,22/21,17/12,5/9,-,-,-
2006,3/10,3/10,-,-,-,-
2005,0/3,0/2,0/1,-,-,-
