Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,397/237,99/66,205/103,64/47,17/18,12/3
2024,27/23,1/4,17/11,8/4,0/4,1/0
2023,37/33,2/3,16/16,10/10,6/3,3/1
2022,43/24,7/6,22/11,12/5,1/1,1/1
2021,25/21,6/7,13/10,6/3,0/1,-
2020,17/16,8/6,3/7,3/3,-,3/0
2019,29/27,10/8,13/11,5/5,0/3,1/0
2018,53/28,14/5,25/10,7/8,4/4,3/1
2017,56/26,11/10,31/11,8/3,6/2,-
2016,54/21,21/9,31/8,2/4,-,-
2015,35/10,3/2,29/6,3/2,-,-
2014,13/5,8/3,5/2,-,-,-
2013,8/3,8/3,-,-,-,-
