Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,29/28,16/16,9/6,4/6,-,-
2024,10/16,5/11,1/1,4/4,-,-
2023,19/11,11/5,8/5,0/1,-,-
2022,0/1,-,-,0/1,-,-
