Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,71/41,51/33,20/8,-,-,-
2024,33/19,28/16,5/3,-,-,-
2023,38/21,23/16,15/5,-,-,-
2021,0/1,0/1,-,-,-,-
