Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,277/165,85/40,170/109,5/4,10/11,7/1
2024,42/17,19/5,20/11,-,3/1,-
2023,22/18,0/2,19/15,-,1/1,2/0
2022,21/12,3/4,17/6,-,0/1,1/1
2021,37/15,11/3,23/10,2/1,1/1,-
2020,15/11,5/2,7/9,-,-,3/0
2019,24/20,8/6,12/12,1/0,2/2,1/0
2018,33/21,6/4,25/13,0/1,2/3,-
2017,37/27,16/7,20/18,-,1/2,-
2016,26/11,1/1,23/9,2/1,-,-
2014,0/2,-,0/2,-,-,-
2012,5/3,5/2,-,0/1,-,-
2011,13/5,10/3,3/2,-,-,-
2010,2/1,1/0,1/1,-,-,-
2009,0/2,0/1,0/1,-,-,-
