https://www.tennisexplorer.com/res/img/player/vqKblnfg-xAjkksyn.jpeg
Collins Danielle
Country: USA
Height / Weight: 178 cm / 64 kg
Age: 30 (13. 12. 1993)
Current/Highest rank - singles: 10. / 7.
Current/Highest rank - doubles: 524. / 79.
Sex: woman
Plays: right
