Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,16/13,12/10,4/3,-,-,-
2024,11/9,7/6,4/3,-,-,-
2023,5/3,5/3,-,-,-,-
2022,0/1,0/1,-,-,-,-
