Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,506/372,129/112,120/101,215/126,42/32,0/1
2024,26/22,8/11,3/4,12/4,3/3,-
2023,26/22,5/4,2/4,16/11,3/3,-
2022,18/15,2/5,-,10/7,6/3,-
2021,17/21,4/6,4/7,9/7,0/1,-
2020,22/16,7/4,8/6,7/6,-,-
2019,25/25,11/7,4/9,5/5,5/4,-
2018,37/26,6/4,16/11,12/8,3/3,-
2017,25/27,5/6,4/8,13/8,3/4,0/1
2016,34/17,5/3,10/6,17/6,2/2,-
2015,24/14,1/2,13/7,4/3,6/2,-
2014,47/30,4/11,12/9,25/8,6/2,-
2013,47/36,15/11,10/10,21/13,1/2,-
2012,57/33,16/6,17/11,20/13,4/3,-
2011,50/31,27/19,3/3,20/9,-,-
2010,43/23,12/9,13/5,18/9,-,-
2009,3/5,0/2,1/1,2/2,-,-
2008,4/5,1/1,-,3/4,-,-
2007,0/2,0/1,-,0/1,-,-
2006,1/2,-,-,1/2,-,-
