Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,39/26,9/12,16/9,-,-,14/5
2024,9/5,1/1,5/3,-,-,3/1
2023,12/5,-,1/1,-,-,11/4
2018,11/8,3/4,8/4,-,-,-
2017,7/6,5/5,2/1,-,-,-
2016,0/2,0/2,-,-,-,-
