Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,463/430,117/117,182/201,112/69,41/35,11/8
2024,16/23,7/11,6/7,3/3,0/2,-
2023,27/34,1/12,19/15,7/6,0/1,-
2022,23/30,10/13,11/10,2/4,0/3,-
2021,29/30,6/7,12/14,7/5,4/4,-
2020,15/16,0/2,14/12,1/2,-,-
2019,36/28,11/4,15/17,5/3,3/3,2/1
2018,24/29,2/5,9/16,6/4,4/3,3/1
2017,40/29,13/4,13/17,5/3,6/4,3/1
2016,31/32,6/6,15/17,1/2,7/4,2/3
2015,42/32,10/6,21/19,2/3,8/3,1/1
2014,33/36,8/6,16/22,8/5,1/3,-
2013,24/28,5/7,7/11,10/6,2/3,0/1
2012,34/26,8/11,5/9,18/5,3/1,-
2011,44/26,12/10,8/7,24/9,-,-
2010,12/12,4/6,6/4,2/2,-,-
2009,29/14,14/6,5/4,7/3,3/1,-
2008,3/4,0/1,-,3/3,-,-
2007,1/1,-,-,1/1,-,-
