Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,116/112,105/97,8/8,3/7,-,-
2024,18/21,18/21,-,-,-,-
2023,23/29,17/23,4/3,2/3,-,-
2022,32/32,30/27,2/3,0/2,-,-
2021,41/25,40/23,-,1/2,-,-
2019,2/3,0/1,2/2,-,-,-
2018,0/2,0/2,-,-,-,-
