Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
20.05.,Midon L.,2,,,,,,"['1', '0', '4', '1', '6', '1']","['3', '1', '5', '1']",[],[],[],1.01
20.05.,Romano G.,0,,,,,,[],[],[],[],[],15.00
20.11.2024,Clark E.,2,,,,,,"['2', '0', '4', '4']","['1', '1', '4', '2', '6', '2']",[],[],[],-
20.11.2024,Romano G.,0,,,,,,"['1', '2', '4', '3']","['1', '0']",[],[],[],-
12.11.2024,Pinto L.,2,,,,,,[],"['3', '1']","['3', '2', '5', '2']",[],[],1.58
12.11.2024,Romano G.,1,,,,,,"['6', '5']",[],[],[],[],2.26
13.12.2023,Soto M.,2,,,,,,[],[],[],[],[],1.03
13.12.2023,Romano G.,0,,,,,,[],[],[],[],[],9.80
12.12.2023,Romano G.,2,,,,,,[],[],[],[],[],1.36
12.12.2023,Torrealba B.,0,,,,,,[],[],[],[],[],2.95
05.09.2023,Monferrer E.,2,,,,,,[],[],[],[],[],3.04
05.09.2023,Romano G.,1,,,,,,[],[],[],[],[],1.34
24.08.2023,Becerra Otarola I. A.,2,,,,,,[],[],[],[],[],1.18
24.08.2023,Romano G.,1,,,,,,[],[],[],[],[],4.47
23.08.2023,Romano G.,2,,,,,,[],[],[],[],[],3.83
23.08.2023,Roveri Sidney G.,1,,,,,,[],[],[],[],[],1.23
08.08.2023,Hess S.,2,,,,,,[],[],[],[],[],1.24
08.08.2023,Romano G.,0,,,,,,[],[],[],[],[],3.73
02.07.2023,Torres Fernandez B. I.,2,,,,,,4,3,66%,66% (39/59),53% (16/30),57% (8/14),35% (19/55),50% (26/52),54% (7/13),54% (57/106),49% (47/95),52% (104/201),60% (9/15),47% (7/15),53% (16/30),[],"['1', '0', '2', '1', '3', '4', '5', '4']","['1', '0', '2', '1', '3', '4', '5', '4']",[],[],1.87
02.07.2023,Romano G.,1,,,,,,2,4,51%,65% (36/55),50% (26/52),46% (6/13),34% (20/59),47% (14/30),43% (6/14),51% (48/95),46% (49/106),48% (97/201),53% (8/15),40% (6/15),47% (14/30),"['3', '1']","['1', '1', '2', '2', '4', '2']","['1', '1', '2', '2', '4', '2']",[],[],1.85
17.06.2023,Jovic V.,2,,,,,,[],[],[],[],[],1.13
17.06.2023,Romano G.,0,,,,,,[],[],[],[],[],5.64
15.06.2023,Romano G.,2,,,,,,[],[],[],[],[],16.0
15.06.2023,Cebic F.,0,,,,,,[],[],[],[],[],1.47
