Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,246/190,146/108,64/44,32/33,0/4,4/1
2024,22/32,20/22,2/8,-,0/2,-
2023,59/39,38/24,14/8,7/6,0/1,-
2022,46/33,31/14,9/7,6/11,0/1,-
2021,39/31,19/18,6/3,10/9,-,4/1
2020,19/11,6/1,10/9,3/1,-,-
2019,18/25,13/17,0/3,5/5,-,-
2018,43/19,19/12,23/6,1/1,-,-
