Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,113/75,35/27,60/39,1/4,-,17/5
2024,18/18,3/7,9/10,-,-,6/1
2023,37/17,13/7,22/9,-,-,2/1
2022,32/23,14/8,13/10,1/3,-,4/2
2021,16/9,4/2,8/6,0/1,-,4/0
2020,3/3,-,2/2,-,-,1/1
2019,6/3,1/2,5/1,-,-,-
2018,1/2,0/1,1/1,-,-,-
