Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,49/11,24/6,17/3,8/2,-,-
2024,31/2,10/1,17/1,4/0,-,-
2023,10/4,8/3,0/1,2/0,-,-
2022,0/2,0/1,-,0/1,-,-
2021,2/3,0/1,0/1,2/1,-,-
2020,6/0,6/0,-,-,-,-
