Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,11/19,6/13,2/4,1/2,-,2/0
2024,3/8,2/6,1/1,0/1,-,-
2023,7/11,4/7,1/3,1/1,-,1/0
2022,1/0,-,-,-,-,1/0
