Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,15/25,6/7,9/18,-,-,-
2024,7/10,0/2,7/8,-,-,-
2023,8/9,6/3,2/6,-,-,-
2022,0/6,0/2,0/4,-,-,-
