Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,193/120,24/22,133/80,15/8,21/10,-
2024,34/25,0/2,28/18,-,6/5,-
2023,44/30,4/4,30/23,2/2,8/1,-
2022,48/29,17/11,24/15,-,7/3,-
2021,46/23,3/5,30/12,13/6,-,-
2020,11/7,-,11/6,-,0/1,-
2019,10/6,-,10/6,-,-,-
