Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds

ATP - SINGLES :  US Open (USA),hard,header
30.08. 01:30,Schoolkate T.,2,7^7,6,2,6^5,6^3,15,12,54%,75% (69/92),43% (33/77),38% (5/13),27% (30/111),61% (45/74),47% (8/17),54,56,71% (37/52),7,60% (102/169),41% (75/185),50% (177/354),6,69% (18/26),31% (8/26),50% (26/52),5309,"['1', '0', '3', '0']","['2', '0', '4', '0', '6', '2']",[],"['1', '1', '3', '1']","['2', '1']",4.23
30.08. 01:30,Mensik J.,3,6^4,2,6,7^7,7^10,27,13,60%,73% (81/111),39% (29/74),53% (9/17),25% (23/92),57% (44/77),62% (8/13),63,52,58% (33/57),7,59% (110/185),40% (67/169),50% (177/354),4,69% (18/26),31% (8/26),50% (26/52),5228,"['1', '3', '5', '5']","['1', '4']","['1', '0', '3', '0']","['1', '0', '2', '3']","['2', '2']",1.23
27.08. 20:40,Schoolkate T.,3,4,4,6,7^8,6,18,7,61%,78% (73/94),50% (30/60),50% (4/8),24% (22/90),48% (34/71),44% (4/9),54,36,56% (14/25),6,67% (103/154),35% (56/161),50% (159/315),5,85% (22/26),15% (4/26),50% (26/52),3234,[],[],"['4', '4', '6', '4']","['4', '4']","['1', '0']",2.40
27.08. 20:40,Daniel T.,2,6,6,4,6^6,4,8,6,56%,76% (68/90),52% (37/71),56% (5/9),22% (21/94),50% (30/60),50% (4/8),49,31,64% (25/39),6,65% (105/161),33% (51/154),50% (156/315),3,85% (22/26),15% (4/26),50% (26/52),3129,"['3', '2']","['1', '0']","['2', '1']","['3', '2']",[],1.59
ATP - SINGLES :  Winston-Salem (USA),hard,header
20.08. 01:10,Schoolkate T.,1,6,2,3,,,13,1,60%,73% (36/49),41% (13/32),64% (7/11),35% (18/52),40% (12/30),25% (2/8),33,26,71% (20/28),5,60% (49/81),37% (30/82),48% (79/163),4,69% (9/13),15% (2/13),42% (11/26),"['4', '3', '6', '3']",[],[],[],[],2.78
20.08. 01:10,Tien L.,2,3,6,6,,,4,3,63%,65% (34/52),60% (18/30),75% (6/8),27% (13/49),59% (19/32),36% (4/11),17,13,80% (4/5),7,63% (52/82),40% (32/81),52% (84/163),5,85% (11/13),31% (4/13),58% (15/26),[],"['1', '0', '5', '2']","['1', '0', '6', '3']",[],[],1.46
ATP - SINGLES :  Winston-Salem (USA) - Qualification,hard,header
19.08. 00:05,Schoolkate T.,2,7^9,7^8,,,,17,5,61%,79% (48/61),51% (20/39),100% (7/7),27% (15/56),35% (11/31),0% (0/3),8,21,63% (27/43),6,68% (68/100),30% (26/87),50% (94/187),3,100% (12/12),0% (0/12),50% (12/24),[],[],[],[],[],1.62
19.08. 00:05,Mejia N.,0,6^7,6^6,,,,7,0,64%,73% (41/56),65% (20/31),100% (3/3),23% (14/61),49% (19/39),0% (0/7),30,6,73% (16/22),5,70% (61/87),32% (32/100),50% (93/187),1,100% (12/12),0% (0/12),50% (12/24),[],[],[],[],[],2.31
17.08. 22:25,Schoolkate T.,2,6,6,,,,5,1,53%,88% (15/17),67% (10/15),0% (0/0),67% (16/24),67% (12/18),50% (6/12),18,5,88% (14/16),10,78% (25/32),67% (28/42),72% (53/74),10,100% (6/6),86% (6/7),92% (12/13),"['1', '0', '3', '0', '5', '0']","['1', '0', '3', '0', '6', '1']",[],[],[],1.04
17.08. 22:25,Pow L.,0,0,1,,,,1,1,57%,33% (8/24),33% (6/18),50% (6/12),12% (2/17),33% (5/15),0% (0/0),6,13,63% (5/8),4,33% (14/42),22% (7/32),28% (21/74),1,14% (1/7),0% (0/6),8% (1/13),[],[],[],[],[],9.70
CHALLENGER MEN - SINGLES :  Cary (USA) - Qualification,hard,header
11.08. 22:00,Schoolkate T.,0,4,4,,,,8,5,51%,73% (30/41),38% (15/40),50% (3/6),20% (6/30),43% (12/28),33% (1/3),5,56% (45/81),29% (17/58),45% (62/139),2,70% (7/10),10% (1/10),40% (8/20),[],"['4', '4']",[],[],[],1.69
11.08. 22:00,Gigante M.,2,6,6,,,,7,7,52%,83% (25/30),57% (16/28),67% (2/3),27% (11/41),63% (25/40),50% (3/6),7,71% (41/58),44% (36/81),55% (77/139),3,90% (9/10),30% (3/10),60% (12/20),"['2', '1']","['1', '0', '5', '4']",[],[],[],2.12
11.08. 00:50,Schoolkate T.,2,6^2,7^7,6,,,20,3,64%,80% (53/66),49% (18/37),75% (6/8),28% (19/68),45% (23/51),43% (3/7),6,69% (71/103),35% (42/119),51% (113/222),3,88% (15/17),18% (3/17),53% (18/34),"['5', '4']","['5', '3']","['1', '0']",[],[],1.70
11.08. 00:50,Kypson P.,1,7^7,6^4,4,,,14,4,57%,72% (49/68),55% (28/51),57% (4/7),20% (13/66),51% (19/37),25% (2/8),5,65% (77/119),31% (32/103),49% (109/222),2,82% (14/17),12% (2/17),47% (16/34),"['5', '5']","['4', '5']",[],[],[],2.09
CHALLENGER MEN - SINGLES :  Lincoln (USA),hard,header
09.08. 22:40,Schoolkate T.,0,6^3,2,,,,10,4,57%,61% (25/41),39% (12/31),67% (8/12),32% (12/38),41% (15/37),25% (2/8),4,51% (37/72),36% (27/75),44% (64/147),3,60% (6/10),20% (2/10),40% (8/20),"['5', '5']","['1', '4']",[],[],[],2.97
09.08. 22:40,Bu Y.,2,7^7,6,,,,3,2,51%,68% (26/38),59% (22/37),75% (6/8),39% (16/41),61% (19/31),33% (4/12),9,64% (48/75),49% (35/72),56% (83/147),6,80% (8/10),40% (4/10),60% (12/20),"['2', '1']","['2', '0', '4', '0', '6', '2']",[],[],[],1.37
08.08. 00:10,Schoolkate T.,2,6,6,,,,4,1,44%,74% (17/23),69% (20/29),50% (1/2),41% (14/34),77% (10/13),80% (4/5),10,71% (37/52),51% (24/47),62% (61/99),5,89% (8/9),50% (4/8),71% (12/17),"['2', '0', '4', '0']","['3', '4', '5', '4']",[],[],[],2.76
08.08. 00:10,Mayot H.,0,1,4,,,,4,3,72%,59% (20/34),23% (3/13),20% (1/5),26% (6/23),31% (9/29),50% (1/2),6,49% (23/47),29% (15/52),38% (38/99),3,50% (4/8),11% (1/9),29% (5/17),[],"['2', '0']",[],[],[],1.42
06.08. 02:30,Schoolkate T.,2,7,7^7,,,,2,4,49%,82% (31/38),59% (23/39),67% (2/3),35% (18/51),46% (13/28),67% (2/3),7,70% (54/77),39% (31/79),54% (85/156),3,92% (11/12),17% (2/12),54% (13/24),"['6', '5']","['6', '5']",[],[],[],1.75
06.08. 02:30,Boyer T.,0,5,6^0,,,,1,2,65%,65% (33/51),54% (15/28),33% (1/3),18% (7/38),41% (16/39),33% (1/3),4,61% (48/79),30% (23/77),46% (71/156),1,83% (10/12),8% (1/12),46% (11/24),[],"['6', '6']",[],[],[],2.00
ATP - SINGLES :  Washington (USA) - Qualification,hard,header
28.07. 01:45,Schoolkate T.,0,1,2,,,,0,3,51%,50% (11/22),43% (9/21),43% (3/7),26% (7/27),33% (9/27),0% (0/4),7,11,50% (3/6),3,47% (20/43),30% (16/54),37% (36/97),1,43% (3/7),0% (0/8),20% (3/15),[],[],[],[],[],2.33
28.07. 01:45,Cressy M.,2,6,6,,,,7,8,50%,74% (20/27),67% (18/27),100% (4/4),50% (11/22),57% (12/21),57% (4/7),29,9,73% (27/37),9,70% (38/54),53% (23/43),63% (61/97),5,100% (8/8),57% (4/7),80% (12/15),"['2', '0', '4', '0']","['1', '0', '4', '1']",[],[],[],1.57
ATP - SINGLES :  Newport (USA) - Qualification,grass,header
15.07. 22:10,Schoolkate T.,0,4,6^3,,,,12,4,59%,79% (34/43),43% (13/30),83% (5/6),22% (11/50),52% (14/27),0% (0/2),35,12,55% (24/44),6,64% (47/73),32% (25/77),48% (72/150),1,91% (10/11),0% (0/11),45% (10/22),[],[],[],[],[],1.44
