Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,594/434,309/201,115/89,154/117,9/14,7/13
2024,25/18,11/12,13/3,1/3,-,-
2023,18/25,11/12,2/4,4/7,1/2,-
2022,42/29,29/17,7/3,6/6,-,0/3
2021,26/32,13/10,0/9,10/10,1/3,2/0
2020,24/14,8/4,6/4,10/6,-,-
2019,50/29,16/8,13/7,19/12,1/1,1/1
2018,23/32,3/7,11/11,6/10,3/2,0/2
2017,36/34,12/11,5/9,14/11,3/3,2/0
2016,35/26,8/14,7/5,20/6,0/1,-
2015,46/38,18/14,9/7,18/12,0/1,1/4
2014,49/35,25/13,5/4,18/14,0/1,1/3
2013,60/29,38/16,8/6,14/7,-,-
2012,55/33,33/18,17/11,5/4,-,-
2011,48/26,35/17,8/4,5/5,-,-
2010,31/17,25/13,4/2,2/2,-,-
2009,26/16,24/14,-,2/2,-,-
2008,0/1,0/1,-,-,-,-
