https://www.tennisexplorer.com/res/img/player/C0IZDUwG-O8ViDgXb.jpeg
Gombos Norbert
Country: Slovakia
Height / Weight: 193 cm / 85 kg
Age: 34 (13. 8. 1990)
Current/Highest rank - singles: 584. / 80.
Current/Highest rank - doubles: - / 88.
Sex: man
Plays: right
