Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,401/258,234/124,64/54,69/57,27/23,7/0
2024,0/3,0/1,0/2,-,-,-
2023,1/2,-,1/2,-,-,-
2022,12/16,6/7,2/6,4/2,0/1,-
2021,37/21,8/8,14/5,14/7,1/1,-
2020,5/6,3/3,2/2,0/1,-,-
2018,0/1,-,-,0/1,-,-
2017,22/27,13/8,5/8,2/7,2/4,-
2016,30/21,6/5,14/9,5/5,2/2,3/0
2015,45/21,25/10,9/5,6/4,3/2,2/0
2014,39/21,20/8,3/3,8/7,7/3,1/0
2013,22/28,11/16,1/5,7/4,2/3,1/0
2012,59/20,50/14,-,5/4,4/2,-
2011,44/23,42/18,0/1,0/1,2/3,-
2010,36/22,20/12,2/2,10/6,4/2,-
2009,33/16,21/8,6/2,6/6,-,-
2008,15/9,9/6,5/2,1/1,-,-
2006,1/1,-,-,1/1,-,-
