Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,33/23,2/2,30/20,1/1,-,-
2024,14/8,2/1,11/6,1/1,-,-
2023,13/10,0/1,13/9,-,-,-
2022,3/2,-,3/2,-,-,-
2020,3/3,-,3/3,-,-,-
