Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,431/295,121/90,169/124,101/44,23/24,17/13
2024,24/22,11/8,9/11,-,4/3,-
2023,24/26,3/5,16/17,-,5/4,-
2022,36/21,12/7,18/10,4/2,2/2,-
2021,25/21,8/6,11/9,4/4,2/2,-
2020,21/14,9/4,9/6,2/1,-,1/3
2019,22/23,2/4,14/14,5/2,0/3,1/0
2018,34/23,5/6,22/9,3/3,3/3,1/2
2017,34/26,2/5,15/13,11/4,1/3,5/1
2016,21/28,4/9,12/14,1/3,1/1,3/1
2015,38/24,8/6,14/8,11/6,4/2,1/2
2014,37/24,14/10,10/7,9/5,1/1,3/1
2013,53/16,10/8,19/6,22/1,-,2/1
2012,37/13,22/7,-,15/4,-,0/2
2011,7/3,5/1,-,2/2,-,-
2010,16/10,6/4,-,10/6,-,-
2009,2/1,-,-,2/1,-,-
