Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,22/31,8/5,14/26,-,-,-
2024,3/5,-,3/5,-,-,-
2023,11/12,5/3,6/9,-,-,-
2022,7/11,3/2,4/9,-,-,-
2021,1/3,-,1/3,-,-,-
