Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,542/394,43/50,279/199,169/91,36/40,15/14
2024,7/11,1/2,5/9,-,-,1/0
2023,9/14,-,2/9,6/4,0/1,1/0
2022,45/22,-,6/9,37/10,1/2,1/1
2021,8/19,-,4/9,1/4,3/4,0/2
2020,21/12,0/1,6/3,15/8,-,-
2019,23/10,-,14/7,6/1,0/1,3/1
2018,49/29,1/2,28/18,17/4,3/4,0/1
2017,42/27,-,21/17,11/6,8/4,2/0
2016,18/28,0/4,12/14,2/5,3/4,1/1
2015,31/25,0/3,13/12,11/5,6/4,1/1
2014,20/24,0/4,14/14,2/3,3/3,1/0
2013,42/28,4/3,25/10,10/8,3/4,0/3
2012,37/37,3/7,14/12,15/10,4/6,1/2
2011,60/24,-,44/17,12/5,1/1,3/1
2010,39/28,4/6,25/15,9/5,1/2,-
2009,71/26,25/10,44/15,2/1,-,-
2008,14/19,5/7,2/6,7/5,-,0/1
2007,6/10,0/1,0/2,6/7,-,-
2005,0/1,-,0/1,-,-,-
